Date,Sector,Index_Ticker,HHI
2011-08-31,Consumer Discretionary,S5COND Index,0.05889845329203272
2011-09-30,Consumer Discretionary,S5COND Index,0.06168789679963191
2011-10-31,Consumer Discretionary,S5COND Index,0.057791797418181245
2011-11-30,Consumer Discretionary,S5COND Index,0.05628408319874859
2011-12-30,Consumer Discretionary,S5COND Index,0.05707489188423036
2012-01-31,Consumer Discretionary,S5COND Index,0.055658270612949534
2012-02-29,Consumer Discretionary,S5COND Index,0.05362364009332983
2012-03-30,Consumer Discretionary,S5COND Index,0.05338583155897524
2012-04-30,Consumer Discretionary,S5COND Index,0.054476629757621416
2012-05-31,Consumer Discretionary,S5COND Index,0.05416773969311173
2012-06-29,Consumer Discretionary,S5COND Index,0.056413381519604365
2012-07-31,Consumer Discretionary,S5COND Index,0.05803904417285829
2012-08-31,Consumer Discretionary,S5COND Index,0.05796000771519982
2012-09-28,Consumer Discretionary,S5COND Index,0.05787462979440394
2012-10-31,Consumer Discretionary,S5COND Index,0.05629059561102547
2012-11-30,Consumer Discretionary,S5COND Index,0.05722490842074782
2012-12-31,Consumer Discretionary,S5COND Index,0.05692271048844231
2013-01-31,Consumer Discretionary,S5COND Index,0.057474947739779764
2013-02-28,Consumer Discretionary,S5COND Index,0.05809949302861419
2013-03-29,Consumer Discretionary,S5COND Index,0.05736209636369736
2013-04-30,Consumer Discretionary,S5COND Index,0.05567730422382013
2013-05-31,Consumer Discretionary,S5COND Index,0.05556271792445665
2013-06-28,Consumer Discretionary,S5COND Index,0.05619413845432697
2013-07-31,Consumer Discretionary,S5COND Index,0.05622023135246478
2013-08-30,Consumer Discretionary,S5COND Index,0.05420701222242968
2013-09-30,Consumer Discretionary,S5COND Index,0.054572099537451735
2013-10-31,Consumer Discretionary,S5COND Index,0.05586572351117984
2013-11-29,Consumer Discretionary,S5COND Index,0.05700820789877936
2013-12-31,Consumer Discretionary,S5COND Index,0.054859999646885246
2014-01-31,Consumer Discretionary,S5COND Index,0.05350612777046659
2014-02-28,Consumer Discretionary,S5COND Index,0.051790361366194165
2014-03-31,Consumer Discretionary,S5COND Index,0.050783094138044174
2014-04-30,Consumer Discretionary,S5COND Index,0.050181616447755935
2014-05-30,Consumer Discretionary,S5COND Index,0.05006425409266111
2014-06-30,Consumer Discretionary,S5COND Index,0.05030486958163362
2014-07-31,Consumer Discretionary,S5COND Index,0.0501048906215338
2014-08-29,Consumer Discretionary,S5COND Index,0.05104798792408216
2014-09-30,Consumer Discretionary,S5COND Index,0.050707157707632414
2014-10-31,Consumer Discretionary,S5COND Index,0.04966571756784556
2014-11-28,Consumer Discretionary,S5COND Index,0.04961697485539195
2014-12-31,Consumer Discretionary,S5COND Index,0.04902342516591424
2015-01-30,Consumer Discretionary,S5COND Index,0.05184908642406088
2015-02-27,Consumer Discretionary,S5COND Index,0.05225262665682477
2015-03-31,Consumer Discretionary,S5COND Index,0.05176263096070393
2015-04-30,Consumer Discretionary,S5COND Index,0.054344175244613935
2015-05-29,Consumer Discretionary,S5COND Index,0.054695109301630664
2015-06-30,Consumer Discretionary,S5COND Index,0.05485692773058419
2015-07-31,Consumer Discretionary,S5COND Index,0.061536377575046534
2015-08-31,Consumer Discretionary,S5COND Index,0.06199429822642905
2015-09-30,Consumer Discretionary,S5COND Index,0.06303010491811463
2015-10-30,Consumer Discretionary,S5COND Index,0.06847514790503875
2015-11-30,Consumer Discretionary,S5COND Index,0.07287826679318639
2015-12-31,Consumer Discretionary,S5COND Index,0.07418583791675801
2016-01-29,Consumer Discretionary,S5COND Index,0.07153978317881379
2016-02-29,Consumer Discretionary,S5COND Index,0.06821169623685051
2016-03-31,Consumer Discretionary,S5COND Index,0.06843249261029263
2016-04-29,Consumer Discretionary,S5COND Index,0.07420567293443385
2016-05-31,Consumer Discretionary,S5COND Index,0.0793251854840263
2016-06-30,Consumer Discretionary,S5COND Index,0.07968419886291547
2016-07-29,Consumer Discretionary,S5COND Index,0.07991675015287565
