,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
313TT,Textile mills and textile product mills,245,114,---,3,---,---,1568,433,228,---,2,587,0,0,2985,1076,3334,2097,189,9362,1365,3121,180,17,7,2486,1742,61,109,2430,1409,---,---,181,16,---,2,82,10,4,102,10,6,---,---,---,---,0,172,198,---,---,284,10,120,103,38,47,465,1710,1061,0,318,1457,291,910,1215,390,3,1966,29,46348,21915,---,2075,---,524,1173,9053,-31703,---,---,---,---,---,---,75,---,---,---,11,---,3122,49470
315AL,Apparel and leather and allied products,26,---,---,---,---,1,---,---,1,---,---,---,---,---,2095,---,---,113,12,621,1998,---,2575,2,---,2,832,200,11,353,621,---,---,---,---,---,---,---,---,82,25,2085,0,---,---,---,---,---,---,103,---,---,50,17,303,112,113,177,211,---,1325,129,46,23,264,1518,230,54,46,4883,39,21298,140945,---,---,---,---,3227,4311,-150852,---,---,---,---,---,---,---,---,---,---,---,---,-2370,18929
322,Paper products,416,0,31,152,97,65,2327,962,1670,1520,2044,2120,680,1165,4459,726,1406,2425,19505,401,9,46666,9021,138,6691,5823,5088,118,950,315,1173,14,50,8,168,1066,34,2615,267,1842,67,413,125,957,568,264,1,0,1285,960,395,369,2535,591,3649,269,256,1129,1801,950,826,62,116,2085,2903,796,133,2326,133,10455,43,160688,21289,---,---,---,---,2251,21164,-22989,---,---,---,---,---,---,---,---,---,---,---,---,21715,182403
323,Printing and related support activities,23,---,5,3,---,8,32,29,---,---,24,10,---,3,6,---,---,---,83,---,7,---,1069,6,471,---,10091,193,187,191,3850,3,18,---,190,70,3,554,23,5415,540,613,2241,749,1994,1496,---,---,114,467,705,252,4509,627,2347,16,870,1522,2101,130,1773,766,152,736,744,1484,671,1985,46,8886,341,61444,4918,---,---,---,---,1014,2200,-2474,---,---,---,---,---,---,---,---,---,---,---,---,5659,67103
324,Petroleum and coal products,5745,436,2011,3783,3163,11457,38214,992,559,1978,807,1007,156,729,467,195,279,1232,2457,76,4,1142,757,18742,9280,754,3232,584,317,160,1181,27723,4162,4688,22795,2115,54,6699,2335,163,56,419,286,3741,3103,18,969,77,4980,1434,35,540,1580,653,3710,1616,848,704,2476,729,444,149,466,604,2034,2476,8013,1221,1752,57891,14062,299713,176941,---,---,---,---,9759,68172,-60296,---,---,---,---,---,---,---,---,---,---,---,---,194577,494289
325,Chemical products,21861,2461,3795,2453,2844,2756,9898,3007,3980,1655,7396,2887,2269,2400,11194,1499,2120,7164,5821,11612,55,9565,4271,11254,207999,59266,2266,107,52,42,813,1,230,8,222,18,2,105,434,712,133,705,409,70,126,21,---,125,12956,107,153,229,11496,1026,6401,1384,620,27843,23532,2339,506,96,468,69,536,3779,3292,2872,103,25586,2999,536475,259769,---,1962,---,---,13680,150224,-235737,---,---,---,---,---,---,---,---,---,---,---,---,189899,726374
326,Plastics and rubber products,1155,91,44,1023,1285,45,24249,796,1295,682,2445,10745,2584,2227,22448,4275,3759,6259,17324,378,46,2877,2894,260,12651,19613,10972,1019,1324,305,3235,415,5,1,1061,43,94,3277,432,417,66,5104,237,165,182,279,0,3,226,1748,97,1471,5702,120,1732,382,544,6102,2373,1112,1364,27,162,112,5044,3516,1930,978,22,8085,2369,215303,34419,---,243,---,35,3342,24666,-48244,---,---,---,---,---,---,38,---,---,---,---,---,14498,229800
42,Wholesale trade,36681,2432,3482,4125,4222,6064,71794,8023,5521,20549,18845,28590,12959,9143,62472,15434,5678,11141,86000,3603,1514,13574,4459,19337,60890,18133,51562,3725,2294,2225,14663,3749,2121,2011,11199,1172,257,5515,2274,9524,245,14847,1985,1980,2171,379,767,386,6621,14091,789,3480,13473,3469,8927,2585,3428,21058,18585,3447,4683,532,3185,3781,22563,10028,12640,4221,1886,35622,8408,877217,521792,66,207144,22949,2840,19820,199228,38123,---,---,8670,468,---,---,5459,578,---,---,8486,1837,1037459,1914676
441,Motor vehicle and parts dealers,12,2,62,165,166,27,1691,237,128,91,318,1701,103,3,2954,581,100,261,1127,24,0,291,32,1,424,150,129,1222,326,94,786,0,6,0,921,4,0,10,77,102,15,71,6,18,5,3,---,59,402,325,0,12,399,---,1340,48,0,---,0,0,0,2,8,20,70,2945,0,0,0,0,2,20078,203320,---,19711,---,5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,223036,243114
445,Food and beverage stores,26,0,0,0,---,62,196,0,2,0,2,14,1,2,9,0,6,12,12,0,0,1,15,2,47,10,9,9,26,8,39,0,3,0,222,20,0,19,0,1,0,0,1,2,4,0,---,41,20,2,1,1,5,---,50,0,8,3,5,1,1,6,19,28,1030,28,0,0,0,18,---,2055,214064,---,160,1,7,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,214231,216286
